time,x,y
1228,3080.43,3
1229,3152.9,2
1230,3166.65,0
1231,3161.16,0
1232,2988.01,3
1233,3247.48,3
1234,3297.8,2
1235,3320.31,0
1236,3306.13,0
1237,3213.6,1
1238,3185.66,3
1239,3251.66,0
1240,3241.92,0
1241,3234.15,0
1242,3225.9,0
1243,3151.36,1
1244,3128.41,1
1245,3116.21,3
1246,3130.72,3
1247,3217.13,3
1248,3217.97,3
1249,3349.69,2
1250,3359.92,2
1251,3396.22,0
1252,3346.09,0
1253,3324.33,0
1254,3299.5,0
1255,3246.12,0
1256,3197.89,0
1257,3052,0
1258,2995.88,0
1259,3016.75,0
1260,2925.28,0
1261,2905.57,1
1262,2869.62,1
1263,2849.14,3
1264,2955.37,3
1265,2954.53,3
1266,3076.01,0
1267,3009.75,0
1268,2973.92,1
1269,2930.05,3
1270,2982.39,3
1271,3068.99,3
1272,3066.29,3
1273,3122.79,2
1274,3134.87,0
1275,3020.75,0
1276,3027.72,0
1277,2964.34,0
1278,2997.86,0
1279,2875.23,0
1280,2874.07,0
1281,2872.6,0
1282,2750.55,0
1283,2727.87,0
1284,2708.05,0
1285,2696.92,0
1286,2744.84,0
1287,2702.48,0
1288,2581.46,1
1289,2554.55,3
1290,2675.68,0
1291,2569.63,1
1292,2534.45,1
1293,2519.29,3
1294,2663.68,3
1295,2674.2,3
1296,2694.25,3
1297,2705.63,3
1298,2791.66,3
1299,2767.28,3
1300,2760.34,3
1301,2776.99,3
1302,2791.14,3
1303,2869.57,2
1304,2874.39,2
1305,2893.45,0
1306,2892.07,0
1307,2840.62,0
1308,2719.34,3
1309,2807.34,3
1310,2839.61,3
1311,2992.06,0
1312,2958.74,1
1313,2929.75,1
1314,2902.31,3
1315,2921.06,3
1316,2974.18,3
1317,3000.22,3
1318,2985.74,3
1319,3038.18,2
1320,3091.96,0
1321,2969.4,3
1322,2973.94,3
1323,3025.24,3
1324,3008.62,3
1325,3102.85,3
1326,3102.43,3
1327,3051.02,3
1328,3116.94,3
1329,3159.85,3
1330,3237.97,3
1331,3225,3
1332,3283.51,2
1333,3251.52,2
1334,3312.59,0
1335,3248.67,0
1336,3231.1,0
1337,3152.9,3
1338,3156.29,3
1339,3169.05,3
1340,3245.39,2
1341,3274.96,2
1342,3303.37,0
1343,3217.41,3
1344,3227.97,3
1345,3270.09,3
1346,3294.86,3
1347,3263.7,3
1348,3277.65,3
1349,3379.49,0
1350,3378.04,0
1351,3309.65,0
1352,3312.03,0
1353,3339.05,0
1354,3289.66,0
1355,3296.73,0
1356,3315.27,0
1357,3334.94,0
1358,3326.14,0
1359,3219.58,0
1360,3213.95,0
1361,3161.14,1
1362,3194.06,0
1363,3221.27,0
1364,3123.25,1
1365,3116.82,3
1366,3184.76,2
1367,3163.1,2
1368,3129.73,3
1369,3193.68,2
1370,3140.44,3
1371,3217,0
1372,3116.41,0
1373,3082.16,0
1374,3048.57,0
1375,3009.71,1
1376,3025.94,1
1377,2983.1,3
1378,3052.08,3
1379,3081.87,3
1380,3171.27,3
1381,3199.68,3
1382,3218.46,3
1383,3270.94,3
1384,3302.89,3
1385,3305.07,3
1386,3373.72,3
1387,3366.45,3
1388,3372.36,3
1389,3330.97,3
1390,3365.62,3
1391,3435.49,3
1392,3426.27,3
1393,3477.8,2
1394,3476.37,2
1395,3458.53,2
1396,3477.83,2
1397,3521.14,2
1398,3504.54,2
1399,3456.18,2
1400,3507.24,2
1401,3524.39,0
1402,3495.27,0
1403,3419.69,3
1404,3450.69,3
1405,3450.34,3
1406,3505.32,3
1407,3615.81,3
1408,3652.17,2
1409,3680.61,2
1410,3668.34,2
1411,3648.53,2
